Tanszék,Év,Q pontszám,Normalizált Q,I pontszám,IF,Normalizált IF,Publikációk száma,Lektorált folyóiratok száma,Konferenciacikkek száma,Könyv és könyvfejezet,Szabadalom,IF folyóiratok száma,D1,Q1,Q2,Q3,Q4
Stochastics,2004,3.3463333333333334,3.77033284431291,15,1.2353333333333332,2.371608946401077,11,9,1,1,0,5,0,3,0,1,3
Stochastics,2005,1.2,1.6085470085470086,18,0.59,1.0085470085470085,7,3,0,0,0,1,0,0,1,0,1
Stochastics,2006,2.1955,2.7943054759608406,25,1.6955,2.2943054759608406,7,7,0,0,0,5,1,2,2,0,1
Stochastics,2007,5.255000000000001,4.707687255561639,23,4.289,3.7576872555616396,14,11,0,0,0,8,0,7,1,0,2
Stochastics,2008,8.110166666666668,8.220007631098664,43,7.145500000000001,7.353146600972327,14,10,2,1,0,9,3,6,0,0,0
Stochastics,2009,2.743,3.3571595729120958,45,2.0476666666666667,2.719433474720881,8,5,0,0,0,4,1,0,2,1,0
Stochastics,2010,1.9601666666666666,1.793816530669877,51,1.3161666666666667,1.1938165306698771,12,4,3,0,0,3,0,2,1,0,0
Stochastics,2011,7.676166666666666,6.784605492643658,47,6.489166666666666,5.4797323284247,14,9,2,0,0,7,1,4,2,1,0
Stochastics,2012,11.289499999999999,9.618320983653314,73,11.121500000000001,9.457991181061102,21,14,1,0,0,14,3,3,7,0,1
Stochastics,2013,5.703333333333334,6.554605047525401,88,3.156833333333333,3.9534745026375515,20,7,3,1,0,6,2,1,2,1,0
Stochastics,2014,8.864166666666666,7.9836520356200635,111,6.818833333333333,6.05031870228673,25,13,5,1,0,11,3,3,5,1,0
Stochastics,2015,3.1706,2.686844587967753,112,2.6706,2.0621701178529603,11,7,1,0,0,6,2,0,4,0,1
Stochastics,2016,5.885,4.842024432711068,91,5.249,4.197180119712726,16,10,1,0,0,9,0,5,3,1,1
Stochastics,2017,10.142733333333332,8.496083943499098,114,8.840733333333334,7.256083943499098,24,13,5,4,0,11,3,7,1,0,0
Stochastics,2018,9.71475,8.203784582647872,118,8.86075,7.3405317815274245,26,17,2,3,0,16,9,2,5,0,0
Stochastics,2019,9.167166666666665,8.152144381546297,131,6.081166666666666,5.072144381546297,30,18,9,0,0,10,3,6,3,2,0
Stochastics,2020,10.639833333333335,6.622525556029761,181,9.964833333333335,5.927122533359735,17,12,2,1,0,11,5,3,3,0,0
Stochastics,2021,22.40491666666667,14.313940447151378,225,17.653249999999996,9.476378961127935,30,23,2,2,0,15,6,6,6,1,1
Stochastics,2022,12.159096825396826,7.939029388029359,145,11.371319047619048,7.051186952922533,22,19,0,2,0,15,4,7,6,0,1
