source,target,size
Pete Gábor,Pete Gábor,37
Pitrik József,Molnár Lajos Gábor,5
Pitrik József,Mosonyi Milán,3
Pitrik József,Pitrik József,8
Prok István,G. Horváth Ákos,1
Prok István,Molnár Emil,27
Prok István,Prok István,28
Prok István,Szirmai Jenő,35
Prőhle Péter,Ferenczi Miklós,1
Prőhle Péter,Prőhle Péter,1
Prőhle Péter,Sági Gábor,1
Rokob Sándor,Rokob Sándor,5
Ráth Balázs,Rokob Sándor,2
Ráth Balázs,Ráth Balázs,47
Ráth Balázs,Rónyai Lajos,6
Rónyai Lajos,Ferenczi Miklós,1
Rónyai Lajos,Kiss Sándor,4
Rónyai Lajos,Ráth Balázs,6
Rónyai Lajos,Rónyai Lajos,133
Rónyai Lajos,Tóth Csaba,1
Serény György,Ferenczi Miklós,1
Simon András,Ferenczi Miklós,5
Simon András,Simon András,6
Simon András,Sági Gábor,3
Simon Károly,Bárány Balázs,99
Simon Károly,Molontay Roland,5
Simon Károly,Nagy Marcell,2
Simon Károly,Prokaj Rudolf Dániel,6
Simon Károly,Simon Károly,121
Simon Károly,Szabados Tamás,1
Simon Károly,Sándor Csaba,1
Simon Károly,Vágó Lajos,2
Simonovits András,Simonovits András,45
Simonovits András,Tóth János,1
Svantnerné Sebestyén Gabriella,Faragó István György,3
Svantnerné Sebestyén Gabriella,Horváth Róbert,3
Svantnerné Sebestyén Gabriella,Kovács Sándor,1
Svantnerné Sebestyén Gabriella,Svantnerné Sebestyén Gabriella,1
Svantnerné Sebestyén Gabriella,Takács Bálint Máté,4
Szabados Tamás,Szabados Tamás,23
Szabó Szilárd,Etesi Gábor,2
Szabó Szilárd,Ivanics Péter,18
Szabó Szilárd,Szabó Szilárd,39
Szabó Sándor,G. Horváth Ákosné,3
Szabó Sándor,Szabó Sándor,3
Szilágyi Zsombor,Bunth Gergely,3
Szilágyi Zsombor,Vrana Péter,2
Szirmai Jenő,Csima Géza,10
Szirmai Jenő,G. Horváth Ákos,1
Szirmai Jenő,Koós Krisztiánné Szilágyi Brigitta,8
Szirmai Jenő,Molnár Emil,118
Szirmai Jenő,Prok István,41
Szirmai Jenő,Szirmai Jenő,332
Szántai Tamás,Bolla Marianna,1
Szántai Tamás,Fábián Csaba,35
Szántai Tamás,Kovács Edith Alice,18
Szántai Tamás,Molontay Roland,2
Szántai Tamás,Szántai Tamás,75
Szász Domokos,Borbély Gábor,2
Szász Domokos,Bálint Péter,102
Szász Domokos,Szász Domokos,192
Szász Domokos,Tasnádi Tamás Péter,2
Szász Domokos,Tóth Imre Péter,81
Szűcs Zsolt,Szűcs Zsolt,8
Szűcs Zsolt,Takács Balázs,4
Sági Gábor,Ferenczi Miklós,24
Sági Gábor,Simon András,2
Sági Gábor,Sági Gábor,30
Sándor Csaba,Kiss Sándor,3
Sándor Csaba,Simon Károly,2
Sándor Csaba,Sándor Csaba,6
Sándor Csaba,Vágó Lajos,2
Takács Balázs,Szűcs Zsolt,2
Takács Balázs,Takács Balázs,2
Takács Bálint Máté,Faragó István György,17
Takács Bálint Máté,Horváth Róbert,15
Takács Bálint Máté,Svantnerné Sebestyén Gabriella,2
Takács Bálint Máté,Takács Bálint Máté,21
Tasnádi Tamás Péter,Tasnádi Tamás Péter,6
Tóth Csaba,Molontay Roland,1
Tóth Imre Péter,Borbély Gábor,6
Tóth Imre Péter,Bálint Péter,49
Tóth Imre Péter,Szász Domokos,30
Tóth Imre Péter,Tóth Imre Péter,43
Tóth János,Barabás Béla,3
Tóth János,Bolla Marianna,1
Tóth János,Kiss Krisztina,3
Tóth János,Kovács Sándor,2
Tóth János,Nagy Ilona,27
Tóth János,Simonovits András,6
Tóth János,Tóth János,73
Vetier András,Szász Domokos,2
Vető Bálint,Vető Bálint,72
Vrana Péter,Vrana Péter,31
Weiner Mihály,Bunth Gergely,3
Weiner Mihály,Matolcsi Máté,26
Weiner Mihály,Szilágyi Zsombor,6
Weiner Mihály,Vrana Péter,2
Weiner Mihály,Weiner Mihály,65
Wettl Ferenc,Babcsányi István,4
Wettl Ferenc,Nagy Attila,4
Wettl Ferenc,Tóth János,1
Wettl Ferenc,Wettl Ferenc,6
