,MTMT,Név,Tanszék,independentCitingPubCount,2022independentCitingPubCount
25,10011985,G. Horváth Ákosné,Analízis,70,1
81,10011667,Prok István,Geometria,69,no info
55,10032461,Lóczi Lajos,Differenciálegyenletek,68,11
52,10017841,Lality-Kovács Tünde,Sztochasztika,68,8
42,10041428,Kiss Márton,Differenciálegyenletek,60,5
100,10023210,Szabó Sándor,Analízis,59,no info
56,10046700,Lovas Attila,Analízis,52,5
101,10027379,Szabó Szilárd,Geometria,49,3
80,10028381,Pitrik József,Analízis,46,4
1,10041405,Babcsányi István,Algebra,42,no info
72,10045285,Nagy Ilona,Analízis,41,4
45,10083060,Kolumbán József,Differenciálegyenletek,37,0
13,10046850,Csima Géza,Geometria,36,3
99,10010416,Szabados Tamás,Sztochasztika,32,1
92,10012192,Serény György,Algebra,32,no info
48,10031107,Kovács Edith Alice,Differenciálegyenletek,32,1
110,10010951,Tasnádi Tamás Péter,Analízis,31,no info
58,10011812,Mala József,Sztochasztika,30,no info
73,10041426,Nagy Katalin,Differenciálegyenletek,25,no info
23,10022680,Fülöp Otília,Differenciálegyenletek,25,2
97,10041404,Stubnya Gusztávné,Algebra,23,2
37,10028073,Kalmár Boldizsár,Geometria,22,no info
28,10041425,Halmschlager Andrea,Geometria,19,1
113,10042772,Vágó Lajos,Sztochasztika,18,2
54,10042205,Lángné Lázi Márta,Analízis,18,1
98,10044622,Svantnerné Sebestyén Gabriella,Differenciálegyenletek,17,4
111,10070026,Tóth Csaba,Algebra,16,8
61,10028363,Mincsovics Miklós,Differenciálegyenletek,15,0
107,10029438,Szűcs Zsolt,Differenciálegyenletek,14,1
44,10042217,Kói Tamás,Sztochasztika,14,2
32,10027650,Horváth Márton,Geometria,14,6
21,10041238,Farkas Lóránt Ernő,Analízis,11,no info
10,10063931,Bunth Gergely,Analízis,11,2
9,10043154,Borbély Gábor,Algebra,11,1
109,10058012,Takács Bálint Máté,Differenciálegyenletek,10,1
115,10011734,Vetier András,Sztochasztika,9,no info
79,10084870,Pintér József,Sztochasztika,9,8
75,10034810,Nagy Noémi,Analízis,8,no info
77,10012374,Pataki Gergely,Analízis,6,0
12,10042246,Csikja Rudolf,Analízis,6,2
60,10048502,Milkovszki Tamás,Algebra,5,1
85,10065152,Rokob Sándor,Sztochasztika,4,0
114,10058310,Varga Anita,Differenciálegyenletek,4,0
3,10042381,Balla-Seethalerné Béla Szilvia,Geometria,3,no info
104,10041403,Szép Gabriella,Algebra,3,no info
105,10070736,Szilágyi Zsombor,Analízis,3,1
36,10049654,Ivanics Péter,Geometria,3,0
17,10057699,Erdélyi Márton Kristóf,Algebra,3,no info
82,10065149,Prokaj Rudolf Dániel,Sztochasztika,2,0
6,10070052,Boda Lívia,Differenciálegyenletek,0,0
64,10052318,Molnár Zoltán Gábor,Algebra,0,0
96,10082160,Sipos Bence,Geometria,0,0
40,10050580,Keszthelyi Gabriella,Sztochasztika,0,no info
39,10078429,Keliger Dániel,Sztochasztika,0,0
26,10078413,Gyenti Bálint,Analízis,0,0
108,10066279,Takács Balázs,Analízis,0,0
